"query","search interest","increase percent"
"google docs",100,"20 %"
"docs",98,"20 %"
"docs google",96,"20 %"
"google slide",64,"7 %"
"slide",60,"0 %"
"slides ai",57,"130 %"
"google slides ai",55,"120 %"
"google slides free",53,"20 %"
"google ai",52,"120 %"
"presentation",52,"60 %"
"google slides presentation",52,"60 %"
"google presentation",51,"60 %"
"powerpoint",50,"30 %"
"google powerpoint",50,"30 %"
"canva",46,"30 %"
"slides templates",45,"-20 %"
"google slides templates",45,"-20 %"
"google drive slides",43,"40 %"
"google drive",42,"40 %"
"drive",40,"30 %"
"google slides template",39,"-9 %"
"google slides background",34,"10 %"
"google classroom",28,"-1 %"
"classroom",28,"-1 %"
"sheets",27,"40 %"
"google sheets",26,"30 %"
"google slides app",23,"160 %"
"pdf to google slides",23,"130 %"
"google gemini",23,"500 %"
"google slides download",23,"50 %"
"slides go",19,"10 %"
"google slides theme",17,"-10 %"
"google images",16,"20 %"
"doc",15,"8 %"
"google doc",15,"20 %"
"google slides ppt",14,"2 %"
"google games",13,"50 %"
"ppt",13,"-4 %"
"google slides login",13,"-9 %"
"google slides themes",13,"-40 %"
"google chat",13,"3 %"
"free google slides templates",12,"-30 %"
"google slides templates free",12,"-20 %"
"slideshow",11,"5 %"
"slidesgo",10,"-30 %"
"slides google search",9,"130 %"
"google workspace",9,"450 %"
"google photos",8,"30 %"
"templates for google slides",8,"-10 %"
"google form",7,"70 %"
