"query","search interest","increase percent"
"save webpage to pdf",100,"-9 %"
"save webpage as pdf",80,"-10 %"
"how to save webpage as pdf",55,"-30 %"
"convert to pdf",46,"-40 %"
"convert webpage to pdf",46,"-40 %"
"print webpage to pdf",44,"-8 %"
"print webpage",44,"-9 %"
"page to pdf",41,"-20 %"
"webpage to pdf online",40,"50 %"
"save a webpage as pdf",40,"-30 %"
"how to save a webpage",37,"-40 %"
"webpage to pdf chrome",35,"-20 %"
"website to pdf",35,"8 %"
"how to save a webpage as pdf",34,"-40 %"
"how to save a webpage as a pdf",33,"-40 %"
"web to pdf",26,"-20 %"
"download webpage as pdf",25,"-50 %"
"how to download a webpage",24,"-20 %"
"how to download webpage as pdf",20,"-50 %"
"html to pdf",20,"-40 %"
"how to convert webpage to pdf",20,"-20 %"
"link to pdf",19,"10 %"
"url to pdf",18,"90 %"
"convert a webpage to pdf",17,"-9 %"
"image to pdf",17,"10 %"
"export webpage to pdf",16,"9 %"
"webpage to pdf converter",16,"-50 %"
"download a webpage as pdf",15,"-40 %"
"how to download a webpage as pdf",14,"-40 %"
"how to download a webpage as a pdf",14,"-40 %"
"how to print a webpage",13,"-7 %"
"pdf to word",13,"-20 %"
"webpage to word",13,"-20 %"
"word to pdf",13,"-20 %"
"how to print webpage as pdf",13,"-1 %"
"how to convert a webpage to pdf",12,"5 %"
"webpage to pdf chrome extension",12,"-20 %"
"web page to pdf",11,"-50 %"
"save webpage as pdf chrome",11,"-8 %"
"how to make a webpage a pdf",10,"-6 %"
"convert webpage to pdf online",8,"6 %"
"turn webpage into pdf",7,"-30 %"
"how to create a webpage",7,"4 %"
"how to save webpage as pdf chrome",7,"-20 %"
"jpg to pdf",6,"-50 %"
"webpage to jpg",6,"-50 %"
"pdf to jpg",6,"-50 %"
"wikipedia",6,"1 600 %"
"how to turn webpage into pdf",6,"-30 %"
"edit pdf",6,"20 %"
