"query","search interest","increase percent"
"gpt",100,"-60 %"
"chat gpt to pdf",97,"-60 %"
"gpt chat",97,"-60 %"
"chat gpt",95,"-60 %"
"pdf to word",56,"-50 %"
"word to pdf",56,"-50 %"
"word",55,"-50 %"
"chat ai",47,"30 %"
"ai",46,"40 %"
"ai chat",46,"30 %"
"google chat",29,"30 %"
"jpg to pdf",20,"-30 %"
"pdf to jpg",19,"-30 %"
"convert to pdf",19,"-50 %"
"pdf to world",18,"400 %"
"pdf converter",18,"-40 %"
"pdf to text",17,"7 %"
"text to pdf",16,"3 %"
"docs",16,"190 %"
"image to pdf",15,"5 %"
"pdf to image",15,"4 %"
"chat gtp",11,"190 %"
"love pdf",10,"4 %"
"excel to pdf",10,"-20 %"
"chat gpt free",10,"-60 %"
"pdf to word converter",10,"-50 %"
"word to pdf converter",10,"-50 %"
"pdf to excel",9,"-10 %"
"gemini chat to pdf",9,"70 %"
"convert word to pdf",9,"-50 %"
"small pdf",9,"350 %"
"chat gemini",9,"60 %"
"convert pdf to word",8,"-60 %"
"pdf convert to word",8,"-60 %"
"chat gpt online",8,"-60 %"
"pdf to word free",7,"-50 %"
"linkedin",7,"130 %"
"ai chat gpt",6,"-70 %"
"copilot",6,"190 %"
"i love pdf",6,"-20 %"
"chat gpt ai",6,"-70 %"
"photo to pdf",6,"50 %"
"claude",5,"170 %"
"openai news",5,"950 %"
"pdf to ppt",5,"-30 %"
"wikipedia",5,"900 %"
"ppt to pdf",5,"-40 %"
"chat gpt login",4,"-40 %"
"pdf editor",4,"-10 %"
"edit pdf",4,"-20 %"
