"query","search interest","increase percent"
"telegram web",100,"-20 %"
"web telegram",93,"-20 %"
"telegram link",26,"7 %"
"link telegram",25,"-6 %"
"download telegram",19,"3 %"
"telegram download",17,"-8 %"
"telegram channel",16,"20 %"
"telegram group",16,"10 %"
"telegram app",13,"50 %"
"telegram login",12,"4 %"
"telegram online",8,"60 %"
"online telegram",8,"50 %"
"grupos telegram",7,"-6 %"
"telegram grupos",7,"-9 %"
"grupo telegram",7,"-7 %"
"what is telegram",7,"190 %"
"telegram pc",4,"4 %"
"grupos de telegram",4,"-9 %"
"telegram apk",4,"7 %"
"telegram support",4,"250 %"
"telegram group link",4,"-1 %"
"telegram premium",4,"50 %"
"telegram desktop",4,"20 %"
"grupo de telegram",3,"-6 %"
"telegram groups",3,"30 %"
"somali telegram",3,"50 %"
"melayu telegram",3,"5 %"
"telegram website",3,"200 %"
"telegram web login",3,"-7 %"
"delete telegram account",2,"-4 %"
"telegram delete account",2,"-10 %"
"delete account telegram",2,"-20 %"
"telegram proxy",2,"80 %"
"proxy telegram",2,"80 %"
"telegram app download",2,"30 %"
"telegram for pc",2,"-9 %"
"telegram descargar",2,"-9 %"
"telegram ads",2,"150 %"
"habesha telegram",2,"60 %"
"telegram скачать",2,"-10 %"
"tele",2,"-5 %"
"telegram scandal",2,"8 %"
"telegram giriş",1,"30 %"
"instagram web",1,"-20 %"
"telegram hr",1,"9 %"
"telegram messenger",1,"30 %"
"telegram web app",1,"20 %"
"telegram 下载",1,"0 %"
"telegram download for pc",1,"-20 %"
"telegram 网页 版",1,"10 %"
