"query","search interest","increase percent"
"save as pdf",100,"-50 %"
"what is a pdf",64,"70 %"
"docs",49,"350 %"
"word",42,"-40 %"
"pdf to jpg",30,"180 %"
"jpg to pdf",29,"190 %"
"how to save pdf as jpg",27,"850 %"
"word to pdf",26,"-50 %"
"how to save jpg as pdf",26,"800 %"
"pdf to word",25,"-50 %"
"pdf to image",20,"-4 %"
"linkedin",19,"350 %"
"image to pdf",19,"-10 %"
"wikipedia",19,"1 150 %"
"love pdf",17,"40 %"
"pdf editor",9,"80 %"
"google docs",9,"10 %"
"pdf to excel",9,"-40 %"
"excel to pdf",9,"-40 %"
"split pdf",7,"190 %"
"ai news today",6,"4 550 %"
"save email as pdf",6,"-60 %"
"how to save word as pdf",5,"-70 %"
"pdf converter",5,"-60 %"
"openai news",5,"1 550 %"
"google drive",5,"-5 %"
"i love pdf",4,"-40 %"
"new york times",4,"1 250 %"
"save pdf as image",4,"-60 %"
"save image as pdf",4,"-60 %"
"walmart near me",4,"Breakout"
"google doc",3,"-70 %"
"pdf merge",3,"-30 %"
"pdf to png",3,"-40 %"
"merge pdf",3,"-40 %"
"how to save email as pdf",3,"-70 %"
"business news today",3,"3 700 %"
"nvidia news",3,"4 350 %"
"how to save a file as a pdf",3,"-70 %"
"pdf merger",2,"190 %"
"apple news today",2,"3 900 %"
"how to save word document as pdf",2,"-70 %"
"compress pdf",2,"-20 %"
"how to save a jpg as a pdf",2,"40 %"
"travel news today",2,"Breakout"
"convert word to pdf",2,"-60 %"
"convert pdf to word",2,"-60 %"
"how to save pdf as image",2,"-70 %"
"openai news today",2,"2 750 %"
"pdf compressor",2,"50 %"
