"query","search interest","increase percent"
"whatsapp web",100,"-30 %"
"whatsapp",98,"-30 %"
"web whatsapp",97,"-30 %"
"word to pdf",61,"-20 %"
"word",56,"-30 %"
"pdf to word",55,"-30 %"
"jpg to pdf",33,"-30 %"
"pdf to jpg",32,"-30 %"
"pdf converter",21,"-30 %"
"convert to pdf",18,"-30 %"
"wa web",13,"-30 %"
"wa",13,"-30 %"
"pdf to excel",13,"-30 %"
"excel to pdf",13,"-30 %"
"word to pdf converter",12,"-40 %"
"pdf to word converter",12,"-40 %"
"image to pdf",9,"-1 %"
"pdf to image",9,"-3 %"
"pdf convert to word",8,"-40 %"
"convert word to pdf",8,"-40 %"
"convert pdf to word",8,"-40 %"
"love to pdf",7,"-9 %"
"whatsapp web login",7,"-20 %"
"whatsapp login",7,"-20 %"
"i love pdf",6,"-20 %"
"web page to pdf",6,"120 %"
"pdf to jpg converter",5,"-30 %"
"jpg to pdf converter",5,"-30 %"
"pdf to jpg convert",4,"-30 %"
"pdf convert to jpg",4,"-30 %"
"jpg to pdf convert",4,"-30 %"
"convert jpg to pdf",4,"-40 %"
"convert pdf to jpg",4,"-30 %"
"love pdf to word",3,"-20 %"
"i love pdf word to pdf",3,"-10 %"
"i love pdf to word",3,"-20 %"
"i love word to pdf",3,"-20 %"
"pdf to word i love pdf",3,"-20 %"
"i love pdf pdf to word",3,"-30 %"
"photo to pdf",3,"30 %"
"merge pdf",3,"-20 %"
"pdf merge",3,"-20 %"
"compress pdf",3,"-30 %"
"excel to pdf converter",3,"-30 %"
"pdf to excel converter",3,"-30 %"
"jpeg to pdf",3,"-20 %"
"pdf to jpeg",2,"-30 %"
"pdf editor",2,"-10 %"
"jpg to word",2,"-40 %"
"telegram web",2,"-20 %"
