"query","search interest","increase percent"
"chat",100,"-10 %"
"chat gpt",98,"-10 %"
"gpt chat",98,"-10 %"
"チャット gpt",6,"50 %"
"gpt ai",3,"-3 %"
"챗 gpt",2,"-30 %"
"gpt чат",2,"-20 %"
"chat gpt ai",2,"-20 %"
"ai chat gpt",2,"-20 %"
"чат gpt",2,"-20 %"
"chatgpt gpt",2,"-40 %"
"chart gpt",1,"250 %"
"free chat gpt",1,"-50 %"
"gpt chat free",1,"-50 %"
"chat gpt free",1,"-50 %"
"gpt chart",1,"200 %"
"cht gpt",1,"170 %"
"chat gpt login",1,"-20 %"
"gpt online",1,"-30 %"
"czat gpt",1,"100 %"
"chat gpt online",1,"-40 %"
"chap gpt",1,"170 %"
"chat gpt gratis",1,"-20 %"
"site gpt",1,"10 %"
"chat gpt 4",1,"-60 %"
"ia gpt",0,"-20 %"
"chat gpt app",0,"20 %"
"zero gpt",0,"-20 %"
"gpt zero",0,"-20 %"
"chat gpt 5",0,"3 %"
"tchat gpt",0,"140 %"
"แช ท gpt",0,"-6 %"
"chat gpt download",0,"-8 %"
"chet gpt",0,"200 %"
"caht gpt",0,"-10 %"
"cat gpt",0,"60 %"
"char gpt",0,"10 %"
"ia chat gpt",0,"-40 %"
"chat gpt com",0,"-7 %"
"chat gpt gratuit",0,"-40 %"
"chat gpt deutsch",0,"-30 %"
"scholar gpt",0,"-20 %"
"chat got",0,"-20 %"
"chapt gpt",0,"20 %"
"hat gpt",0,"3 %"
"chst gpt",0,"20 %"
"chay gpt",0,"100 %"
"cha gpt",0,"-20 %"
"chat gpt openai",0,"-50 %"
"chta gpt",0,"4 %"
