"query","search interest","increase percent"
"pdf",100,"4 %"
"pdf converter",99,"2 %"
"converter pdf",98,"2 %"
"pdf to pdf converter",73,"5 %"
"converter mp3",48,"-8 %"
"mp3",44,"-20 %"
"mp3 converter",44,"-20 %"
"pdf converter to word",35,"1 %"
"pdf to word converter",34,"-8 %"
"converter pdf to word",34,"-7 %"
"pdf to word",34,"-10 %"
"word to pdf converter",33,"-9 %"
"word to pdf",33,"0 %"
"currency converter",25,"-10 %"
"online converter",25,"0 %"
"jpg converter",25,"-8 %"
"video converter",20,"-2 %"
"catalytic converter",17,"70 %"
"image converter",16,"9 %"
"mp4 converter",15,"-10 %"
"converter mp4",14,"-20 %"
"jpg to pdf converter",14,"-1 %"
"jpg to pdf",14,"-2 %"
"pdf to jpg converter",14,"2 %"
"pdf to jpg",14,"0 %"
"pdf converter free",11,"40 %"
"online pdf converter",11,"10 %"
"time converter",9,"10 %"
"audio converter",9,"20 %"
"pdf to excel converter",8,"20 %"
"pdf to excel",8,"-1 %"
"png converter",8,"7 %"
"excel to pdf converter",7,"0 %"
"file converter",7,"10 %"
"converter word em pdf",6,"-3 %"
"converter pdf em word",6,"-10 %"
"torque converter",6,"60 %"
"image to pdf",6,"20 %"
"image to pdf converter",6,"20 %"
"pdf to image converter",6,"10 %"
"date converter",5,"40 %"
"mp3 download",5,"-30 %"
"unicode converter",5,"30 %"
"money converter",5,"-5 %"
"mp3 converter download",5,"-30 %"
"word to pdf converter free",5,"30 %"
"pdf to word converter free",4,"30 %"
"free pdf to word converter",4,"30 %"
"word to pdf converter online",4,"1 %"
"pdf to word converter online",4,"-3 %"
