"query","search interest","increase percent"
"convert pdf",100,"10 %"
"pdf convert",96,"6 %"
"convert to pdf",92,"6 %"
"convert to word",45,"-6 %"
"pdf to word",38,"0 %"
"word to pdf",38,"4 %"
"pdf convert to word",38,"-3 %"
"pdf to word convert",38,"-4 %"
"word convert to pdf",37,"0 %"
"convert word to pdf",37,"-6 %"
"convert pdf to word",37,"-8 %"
"convert jpg",35,"6 %"
"convert to jpg",32,"7 %"
"free convert",27,"60 %"
"jpg to pdf",21,"10 %"
"jpg convert to pdf",20,"10 %"
"pdf convert to jpg",20,"7 %"
"convert mp3",20,"20 %"
"pdf to jpg",20,"10 %"
"jpg to pdf convert",20,"5 %"
"pdf to jpg convert",20,"6 %"
"mp3 convert",20,"20 %"
"convert pdf to jpg",19,"5 %"
"convert jpg to pdf",19,"7 %"
"online convert",19,"7 %"
"convert video",17,"40 %"
"convert to mp3",16,"30 %"
"convert to pdf free",12,"60 %"
"pdf to excel convert",9,"3 %"
"convert to mp4",9,"-20 %"
"pdf convert to excel",9,"0 %"
"convert excel to pdf",9,"-6 %"
"convert pdf to excel",9,"-10 %"
"convert to png",7,"-1 %"
"convert into pdf",6,"30 %"
"convert to jpeg",5,"10 %"
"image convert to pdf",5,"10 %"
"convert image to pdf",5,"10 %"
"convert file to pdf",4,"3 %"
"convert pdf to image",4,"10 %"
"currency convert",4,"1 %"
"convert pdf to word free",4,"20 %"
"convert word to pdf free",4,"10 %"
"convert heic to jpg",4,"110 %"
"free convert pdf to word",4,"6 %"
"convert pdf to jpg free",4,"200 %"
"convert inches to cm",4,"-20 %"
"convert cm to inches",4,"-5 %"
"convert jpg to pdf free",4,"200 %"
"convert case",3,"110 %"
