"query","search interest","increase percent"
"gemini",100,"250 %"
"ai gemini",98,"200 %"
"gemini ai",97,"200 %"
"google ai",62,"120 %"
"ai google",61,"110 %"
"ai news",52,"950 %"
"ai video",38,"40 %"
"what is ai",37,"90 %"
"claude ai",29,"200 %"
"claude",28,"170 %"
"ai claude",27,"160 %"
"chatgpt ai",21,"-20 %"
"use ai",20,"80 %"
"open ai",19,"40 %"
"ai studio",17,"70 %"
"ai photo",17,"40 %"
"chat ai",16,"-40 %"
"ai chat",14,"-50 %"
"character ai",13,"-60 %"
"ai detector",13,"-30 %"
"meta ai",12,"50 %"
"cloud ai",11,"300 %"
"google gemini ai",11,"250 %"
"gpt ai",11,"-30 %"
"google gemini",11,"300 %"
"openai",11,"300 %"
"github",11,"350 %"
"google ai studio",10,"90 %"
"ai studio google",10,"90 %"
"google studio ai",10,"80 %"
"ai mode",9,"150 %"
"mode ai",9,"150 %"
"flow ai",8,"600 %"
"flow",8,"600 %"
"grok ai",8,"20 %"
"grok",7,"30 %"
"ai overview",7,"300 %"
"perplexity",6,"-30 %"
"perplexity ai",6,"-30 %"
"chat gpt ai",6,"-40 %"
"ai video generator",6,"10 %"
"ai chat gpt",6,"-50 %"
"copilot ai",5,"7 %"
"copilot",5,"6 %"
"ai checker",5,"-40 %"
"canva ai",5,"-1 %"
"ai image generator",5,"-60 %"
"deep ai",5,"-5 %"
"gemini ai photo",5,"4 200 %"
"suno ai",4,"-5 %"
