"query","search interest","increase percent"
"word",100,"-50 %"
"word to pdf",99,"-50 %"
"pdf to word",98,"-50 %"
"jpg to pdf",70,"-50 %"
"pdf to jpg",65,"-50 %"
"convert to pdf",37,"-50 %"
"pdf converter",32,"-50 %"
"image to pdf",23,"-20 %"
"pdf to excel",23,"-50 %"
"excel to pdf",22,"-40 %"
"pdf to image",21,"-30 %"
"docs to pdf",16,"350 %"
"pdf to word converter",16,"-60 %"
"text to pdf",16,"80 %"
"word to pdf converter",16,"-60 %"
"convert word to pdf",15,"-50 %"
"pdf converter to word",15,"-60 %"
"convert pdf to word",15,"-50 %"
"pdf convert to word",15,"-50 %"
"photo to pdf",10,"10 %"
"i love pdf",9,"-50 %"
"wikipedia",8,"2 550 %"
"pdf to word free",8,"-20 %"
"convert pdf to jpg",8,"-50 %"
"convert jpg to pdf",8,"-50 %"
"ppt to pdf",8,"-30 %"
"jpg to pdf convert",8,"-50 %"
"pdf to ppt",7,"-30 %"
"png to pdf",7,"-50 %"
"pdf to png",7,"-50 %"
"images to pdf",7,"70 %"
"edit pdf",7,"-4 %"
"pdf to jpg converter",7,"-50 %"
"jpg to pdf converter",6,"-50 %"
"merge pdf",6,"-40 %"
"pdf to jpeg",6,"-50 %"
"pdf editor",6,"-20 %"
"jpeg to pdf",6,"-50 %"
"compress pdf",6,"-40 %"
"pdf to word online",6,"-50 %"
"pdf to pdf merge",6,"-40 %"
"pdf merge",6,"-40 %"
"pdf to doc",5,"-40 %"
"doc to pdf",5,"-40 %"
"pdf to words",5,"110 %"
"i love pdf word to pdf",4,"-40 %"
"pdf to word i love pdf",4,"-40 %"
"split pdf",4,"120 %"
"i love pdf pdf to word",4,"-40 %"
"i love pdf to word",4,"-50 %"
