"query","search interest","increase percent"
"ai",100,"20 %"
"ai gemini",96,"20 %"
"gemini ai",93,"10 %"
"google gemini",58,"50 %"
"gemini google",58,"50 %"
"google ai gemini",11,"30 %"
"google gemini ai",11,"40 %"
"gemini ai google",11,"50 %"
"gemini google ai",11,"40 %"
"google ai",11,"40 %"
"gemini pro",7,"20 %"
"gemini chat",7,"-30 %"
"gemini photo",7,"800 %"
"chat gemini",7,"-40 %"
"gemini prompt",5,"600 %"
"ai gemini photo",5,"1 550 %"
"gemini ai photo",5,"1 450 %"
"gemini ia",4,"-20 %"
"ia",4,"-20 %"
"ia gemini",4,"-20 %"
"gemini app",4,"20 %"
"gemini api",4,"-20 %"
"gemini download",2,"10 %"
"gemini studio",2,"-20 %"
"gemini online",2,"-5 %"
"gemini ai prompt",2,"750 %"
"prompt gemini ai",2,"650 %"
"gemini ai free",2,"-2 %"
"gemini ai chat",2,"-40 %"
"gemini ai foto",2,"1 450 %"
"gemini banana",2,"3 650 %"
"ai studio",2,"-1 %"
"gemini ai studio",2,"-5 %"
"google gemini pro",2,"50 %"
"gemini 2.5",2,"-60 %"
"gemini login",2,"-30 %"
"gemini ai pro",2,"40 %"
"gemini business",1,"60 %"
"gemini gratis",1,"40 %"
"claude ai",1,"20 %"
"gemini nano banana",1,"Breakout"
"nano banana",1,"Breakout"
"nano banana gemini",1,"Breakout"
"google gemini photo",1,"850 %"
"grok",1,"10 %"
"gemini cli",1,"-8 %"
"gemini live",1,"-20 %"
"google gemini app",1,"40 %"
"gemini al",1,"20 %"
"gemini student",1,"-10 %"
