"query","search interest","increase percent"
"how to save as pdf",100,"10 %"
"how to save jpg as pdf",49,"2 050 %"
"save jpg as pdf",46,"900 %"
"save pdf as jpg",45,"850 %"
"pdf to jpg",45,"1 300 %"
"jpg to pdf",44,"1 250 %"
"how to save pdf as jpg",43,"1 750 %"
"how to save as a pdf",32,"-30 %"
"word",20,"-20 %"
"save pdf as word",19,"-20 %"
"word save as pdf",19,"-10 %"
"save word as pdf",19,"-20 %"
"save file as pdf",14,"-30 %"
"pdf to word",12,"-30 %"
"word to pdf",12,"-30 %"
"microsoft save as pdf",10,"70 %"
"save email as pdf",10,"-20 %"
"how to save word as pdf",9,"-40 %"
"save page as pdf",9,"-20 %"
"how to save pdf as word",8,"-40 %"
"save pdf as image",7,"-10 %"
"save image as pdf",7,"-20 %"
"how to save document as pdf",7,"-40 %"
"save excel as pdf",6,"-40 %"
"save word document as pdf",6,"-30 %"
"save pdf as word document",6,"-30 %"
"how to save email as pdf",5,"-30 %"
"save photo as pdf",5,"-20 %"
"adobe",5,"-20 %"
"how to save a file as a pdf",5,"-30 %"
"microsoft word",5,"120 %"
"image to pdf",5,"-20 %"
"how to save a document as a pdf",5,"-30 %"
"how to save doc as pdf",4,"-40 %"
"how to save as pdf on iphone",4,"-30 %"
"how to save pdf as word document",4,"-40 %"
"how to save a jpg as a pdf",4,"190 %"
"how to save word document as pdf",4,"-40 %"
"how to save image as pdf",3,"-30 %"
"how to save pdf as image",3,"-30 %"
"save powerpoint as pdf",3,"-20 %"
"save webpage as pdf",3,"-30 %"
"save website as pdf",3,"60 %"
"save google doc as pdf",3,"-50 %"
"how to save excel as pdf",3,"-40 %"
"google docs",3,"20 %"
"how to save photo as pdf",3,"-20 %"
"google doc",3,"-50 %"
"how to save docs as pdf",3,"30 %"
"how to save as pdf in word",3,"-20 %"
