"query","search interest","increase percent"
"facebook news",100,"350 %"
"instagram",67,"100 %"
"amazon",45,"300 %"
"what is a pdf",35,"250 %"
"word to pdf",30,"-80 %"
"pdf to word",30,"-80 %"
"facebook marketplace",29,"100 %"
"tiktok",27,"150 %"
"linkedin",25,"120 %"
"image to pdf",22,"-20 %"
"pdf to image",22,"-20 %"
"facebook login",20,"-70 %"
"wikipedia",19,"1 200 %"
"ai news",17,"500 %"
"pdf to jpg",11,"-90 %"
"jpg to pdf",11,"-90 %"
"pdf to excel",11,"-50 %"
"excel to pdf",11,"-50 %"
"messenger",11,"-10 %"
"facebook messenger",10,"-10 %"
"computer",10,"100 %"
"ppt to pdf",8,"-10 %"
"facebook ads news",8,"650 %"
"ai news today",7,"1 000 %"
"openai news",5,"400 %"
"how to delete facebook account",4,"60 %"
"png to pdf",4,"-70 %"
"pdf to png",4,"-80 %"
"doc to pdf",4,"-40 %"
"walmart near me",4,"Breakout"
"java",4,"150 %"
"business news today",4,"1 100 %"
"how to change facebook password",4,"600 %"
"facebook log in",3,"-80 %"
"facebook lite",3,"-40 %"
"i love pdf",3,"-80 %"
"new york times",3,"500 %"
"how to stop facebook notifications",3,"Breakout"
"convert word to pdf",3,"-90 %"
"convert pdf to word",3,"-90 %"
"word to pdf converter",2,"-90 %"
"pdf to word converter",2,"-90 %"
"nvidia news",2,"550 %"
"merge pdf",2,"-70 %"
"convert pdf to jpg",2,"-90 %"
"convert jpg to pdf",2,"-90 %"
"bitcoin news",2,"300 %"
"openai news today",2,"1 200 %"
"how to edit pdf free",2,"140 %"
"pdf compressor",2,"-40 %"
