"query","search interest","increase percent"
"word to doc",100,"30 %"
"word doc",99,"30 %"
"word to pdf",97,"30 %"
"doc to word",97,"30 %"
"word",97,"20 %"
"doc to pdf free",96,"250 %"
"pdf to word",95,"20 %"
"pdf to word doc",95,"30 %"
"word doc to pdf",93,"20 %"
"pdf to doc free",93,"250 %"
"google doc",59,"2 %"
"pdf to google doc",57,"0 %"
"google doc to pdf",56,"-6 %"
"pdf to word free",43,"300 %"
"convert pdf to doc",43,"-20 %"
"pdf to doc convert",43,"-20 %"
"pdf converter",42,"-30 %"
"doc to pdf converter",42,"-30 %"
"convert doc to pdf",42,"-20 %"
"doc to pdf online",42,"100 %"
"convert to pdf",42,"-30 %"
"pdf to word doc free",41,"250 %"
"pdf to doc converter",41,"-30 %"
"pdf to doc online",41,"100 %"
"doc convert to pdf",40,"-20 %"
"pdf convert to doc",36,"-30 %"
"from doc to pdf",26,"140 %"
"from pdf to doc",25,"130 %"
"convert word doc to pdf",16,"-20 %"
"convert word to pdf",15,"-20 %"
"convert pdf to word doc",15,"-20 %"
"convert pdf to word",15,"-30 %"
"word online",15,"130 %"
"pdf to doc file",14,"4 %"
"file to pdf",13,"1 %"
"doc file to pdf",13,"1 %"
"excel to pdf",13,"250 %"
"how to convert doc to pdf",13,"-5 %"
"pdf to excel",12,"250 %"
"how to convert pdf to doc",12,"-7 %"
"docs to pdf",12,"-2 %"
"docs",11,"-10 %"
"pdf to docs",11,"-6 %"
"change doc to pdf",10,"30 %"
"jpg to pdf",9,"-20 %"
"pdf to google docs",9,"-7 %"
"doc to jpg",8,"-40 %"
"pdf to jpg",8,"-30 %"
"jpg to doc",8,"-40 %"
"convert google doc to pdf",8,"-30 %"
